Text,Token,Dominant_Topic,Contribution%,Topic_Name
work nongaming company ai tool super useful programming recently really chatgpt rather internal tool internal codebase code editor similar copilotthey mostly speed cod dont mess around,"['work', 'nongaming', 'company', 'ai', 'tool', 'super', 'useful', 'programming', 'recently', 'really', 'chatgpt', 'rather', 'internal', 'tool', 'internal', 'codebase', 'code', 'editor', 'similar', 'copilotthey', 'mostly', 'speed', 'cod', 'dont', 'mess', 'around']",4,91.33,T4 Random Ask and Conversations
levei golpe chatgpt,"['levei', 'golpe', 'chatgpt']",1,25.0,T1 Information Technology
correction chatgpt expose part grant application process mockery,"['correction', 'chatgpt', 'expose', 'part', 'grant', 'application', 'process', 'mockery']",1,25.0,T1 Information Technology
far delusional fullyself drive car populate road long way chatgpt look history channel truth behind driverless car hype,"['far', 'delusional', 'fullyself', 'drive', 'car', 'populate', 'road', 'long', 'way', 'chatgpt', 'look', 'history', 'channel', 'truth', 'behind', 'driverless', 'car', 'hype']",2,84.36,T2 Education and Foundations
friend download free audio review copy amp leave review chatgpt gemini amp llama journey ai agi asi amp singularity transformative innovation book series amazon audible redeem onetime use code promo code zz3c6csfgb6tz,"['friend_download_free_audio', 'review_copy_amp_leave', 'review', 'chatgpt', 'gemini_amp_llama_journey', 'ai_agi_asi_amp', 'singularity_transformative', 'innovation_book_series_amazon', 'audible_redeem', 'onetime_use', 'code_promo_code', 'zz', 'csfgb', 'tz']",3,93.18,T3 Experiment AI
do laughing say quixote reply behalf stoutly chatgpt账号 飞机号 推特账号 facebook账号 海外邮箱 59585,"['laughing', 'say', 'quixote', 'reply', 'behalf', 'stoutly', 'chatgpt账号_飞机号_推特账号', 'facebook账号', '海外邮箱']",1,80.31,T1 Information Technology
friend download free audio review copy amp leave review chatgpt gemini amp llama journey ai agi asi amp singularity transformative innovation book series amazon audible redeem onetime use code promo code y9uelgdd35zfx,"['friend_download_free_audio', 'review_copy_amp_leave', 'review', 'chatgpt', 'gemini_amp_llama_journey', 'ai_agi_asi_amp', 'singularity_transformative', 'innovation_book_series_amazon', 'audible_redeem', 'onetime_use', 'code_promo_code', 'uelgdd', 'zfx']",3,93.18,T3 Experiment AI
job involve stand lot trouble foot pain tomorrow_x_together katrinakaif itzy_ringo tontawan_t thenamechapter chatgpt muncry dolphins gobucs jiminxtiffany,"['job', 'involve', 'stand', 'lot', 'trouble', 'foot', 'pain', 'katrinakaif', 'itzy_ringo', 'tontawan_t', 'thenamechapter', 'chatgpt', 'muncry', 'dolphins', 'gobucs', 'jiminxtiffany']",1,74.03,T1 Information Technology
friend download free audio review copy amp leave review chatgpt gemini amp llama journey ai agi asi amp singularity transformative innovation book series amazon audible redeem onetime use code promo code w4nlcuh2e4lyz,"['friend_download_free_audio', 'review_copy_amp_leave', 'review', 'chatgpt', 'gemini_amp_llama_journey', 'ai_agi_asi_amp', 'singularity_transformative', 'innovation_book_series_amazon', 'audible_redeem', 'onetime_use', 'code_promo_code', 'nlcuh', 'lyz']",3,93.18,T3 Experiment AI
friend download free audio review copy amp leave review chatgpt gemini amp llama journey ai agi asi amp singularity transformative innovation book series amazon audible redeem onetime use code promo code urltcphfkq4td,"['friend_download_free_audio', 'review_copy_amp_leave', 'review', 'chatgpt', 'gemini_amp_llama_journey', 'ai_agi_asi_amp', 'singularity_transformative', 'innovation_book_series_amazon', 'audible_redeem', 'onetime_use', 'code_promo_code', 'urltcphfkq', 'td']",3,93.18,T3 Experiment AI
regulatory capture legitimate concern response tobe guard regulatory capture pay attention legislation consideredpassed call problem eg chatgpt get grandfathered,"['regulatory', 'capture', 'legitimate', 'concern', 'response', 'tobe', 'guard', 'regulatory', 'capture', 'pay', 'attention', 'legislation', 'call', 'problem', 'eg', 'chatgpt', 'get', 'grandfathered']",2,84.45,T2 Education and Foundations
talk w chatgpt use voice literally 10x good experience feel natural ask question get answer,"['talk', 'chatgpt', 'use', 'voice', 'literally', 'good', 'experience', 'feel', 'natural', 'ask', 'question', 'get', 'answer']",4,59.91,T4 Random Ask and Conversations
consent antipattern use ampersand user able consent history training independently chatgpt,"['consent', 'antipattern', 'use', 'ampersand', 'user', 'able', 'consent', 'history', 'training', 'independently', 'chatgpt']",3,80.27,T3 Experiment AI
friend download free audio review copy amp leave review chatgpt gemini amp llama journey ai agi asi amp singularity transformative innovation book series amazon audible redeem onetime use code promo code st75spw38hzb5,"['friend_download_free_audio', 'review_copy_amp_leave', 'review', 'chatgpt', 'gemini_amp_llama_journey', 'ai_agi_asi_amp', 'singularity_transformative', 'innovation_book_series_amazon', 'audible_redeem', 'onetime_use', 'code_promo_code', 'st', 'spw', 'hzb']",3,93.18,T3 Experiment AI
chatgpt generate as response,"['chatgpt', 'generate', 'response']",3,73.47,T3 Experiment AI
true check chatgpt oh god know,"['true', 'check', 'chatgpt', 'oh', 'god', 'know']",1,74.28,T1 Information Technology
talk chatgpt,"['talk', 'chatgpt']",2,61.84,T2 Education and Foundations
chatgpt as reply,"['chatgpt', 'reply']",1,61.4,T1 Information Technology
use chatgpt4 dalle 3,"['use', 'chatgpt', 'dalle']",3,74.03,T3 Experiment AI
want know old amim age thank chatgpt give answer,"['want', 'know', 'old', 'amim', 'age', 'thank', 'chatgpt', 'give', 'answer']",1,83.28,T1 Information Technology
friend download free audio review copy amp leave review chatgpt gemini amp llama journey ai agi asi amp singularity transformative innovation book series amazon audible redeem onetime use code promo code slm88nfkr98f4,"['friend_download_free_audio', 'review_copy_amp_leave', 'review', 'chatgpt', 'gemini_amp_llama_journey', 'ai_agi_asi_amp', 'singularity_transformative', 'innovation_book_series_amazon', 'audible_redeem', 'onetime_use', 'code_promo_code', 'slm', 'nfkr']",3,93.18,T3 Experiment AI
ask chatgpt dalle 3 make happy image generate four wish happy day great see able take context emotion create representation emotion,"['ask', 'chatgpt', 'dalle', 'make', 'happy', 'image', 'generate', 'four', 'wish', 'happy', 'day', 'great', 'see', 'able', 'take', 'context', 'emotion', 'create', 'representation', 'emotion']",3,77.83,T3 Experiment AI
_ ___ _ trust chatgpt _ _,"['trust', 'chatgpt']",1,25.0,T1 Information Technology
chatgpt lack sweet context meaningful discussion oftentimes flow conversation topic true knowledge,"['chatgpt', 'lack', 'sweet', 'context', 'meaningful', 'discussion', 'oftentimes', 'flow', 'conversation', 'topic', 'true', 'knowledge']",1,73.44,T1 Information Technology
good people integrate chatgpt mix dont need ask separately general knowledge wish theyd hurry windows release new intel chip id know right side,"['good', 'people', 'integrate', 'chatgpt', 'mix', 'dont', 'need', 'ask', 'separately', 'general', 'knowledge', 'wish', 'theyd', 'hurry', 'windows', 'release', 'new', 'intel', 'chip', 'id', 'know', 'right', 'side']",4,92.01,T4 Random Ask and Conversations
embark visual journey timeless tale moby dick reimagined classic oil paint innovative capability chatgpts dalle weve transform literary masterpiece captivate visual work art swipe experience epic tale,"['embark', 'visual', 'journey', 'timeless', 'tale', 'moby', 'dick', 'reimagined', 'classic', 'oil', 'paint', 'innovative', 'capability', 'chatgpts', 'dalle', 'weve', 'transform', 'literary', 'masterpiece', 'captivate', 'visual', 'work', 'art', 'swipe', 'experience', 'epic', 'tale']",3,88.22,T3 Experiment AI
flip chatgpt,"['flip', 'chatgpt']",1,25.0,T1 Information Technology
voice dictation chatgpt mobile app remarkably good well ive tried insert punctuation automatically smooths false start confusion,"['voice', 'dictation', 'chatgpt', 'mobile', 'app', 'remarkably', 'good', 'well', 'ive', 'tried', 'insert', 'punctuation', 'automatically', 'smooths', 'false', 'start', 'confusion']",4,89.99,T4 Random Ask and Conversations
free credit come use ai bring wild imagination life check community let mind run wild art artwork print wallart dalle openai generative chatgpt printyourmind,"['free', 'credit', 'come', 'use', 'ai', 'bring', 'wild', 'imagination', 'life', 'check', 'community', 'let', 'mind', 'run', 'wild', 'art', 'artwork', 'print', 'wallart', 'dalle', 'openai', 'generative', 'chatgpt', 'printyourmind']",3,93.26,T3 Experiment AI
microsoftaffiliated research find flaws gpt4 chatgpt,"['research', 'find', 'flaws', 'gpt', 'chatgpt']",2,80.4,T2 Education and Foundations
great article peter greiff build autonomous agent actually super easy use right tool check sample agent use chatgpt langchain cassio python datastax astra db vector database,"['great', 'article', 'peter', 'greiff', 'build', 'autonomous', 'agent', 'actually', 'super', 'easy', 'use', 'right', 'tool', 'check', 'sample', 'agent', 'use', 'chatgpt', 'langchain', 'cassio', 'python', 'datastax', 'astra', 'db', 'vector', 'database']",1,86.57,T1 Information Technology
friend download free audio review copy amp leave review chatgpt gemini amp llama journey ai agi asi amp singularity transformative innovation book series amazon audible redeem onetime use code promo code rydqmduuw7z4f,"['friend_download_free_audio', 'review_copy_amp_leave', 'review', 'chatgpt', 'gemini_amp_llama_journey', 'ai_agi_asi_amp', 'singularity_transformative', 'innovation_book_series_amazon', 'audible_redeem', 'onetime_use', 'code_promo_code', 'rydqmduuw']",3,93.18,T3 Experiment AI
forgot many car uber go one point count 245 vehicle lot try get chatgpt count keep give nonsensical number alas,"['forgot', 'many', 'car', 'uber', 'go', 'one', 'point', 'count', 'vehicle', 'lot', 'try', 'get', 'chatgpt', 'count', 'keep', 'give', 'nonsensical', 'number', 'alas']",1,57.95,T1 Information Technology
look smarter protection use chatgpt check insightful article bbballies trustedcommunit hamptonroads bbb protectyourself,"['look', 'smarter', 'protection', 'use', 'chatgpt', 'check', 'insightful', 'article', 'bbballies', 'trustedcommunit', 'hamptonroads', 'bbb', 'protectyourself']",1,83.76,T1 Information Technology
4 youchat good alternative chatgpt,"['youchat', 'good', 'alternative', 'chatgpt']",4,60.79,T4 Random Ask and Conversations
chatgpt brother gt palestina first,"['chatgpt', 'brother', 'gt', 'palestina', 'first']",4,60.67,T4 Random Ask and Conversations
use chatgpt python build knowledge graph neo4j base article kasper müller aug 2023 towards data science ai generativeai chatbots chatgpt python,"['use', 'chatgpt', 'python', 'build', 'knowledge', 'graph', 'neo', 'base', 'article', 'kasper', 'müller', 'aug', 'towards', 'data', 'science', 'ai', 'generativeai', 'chatbots', 'chatgpt', 'python']",3,89.83,T3 Experiment AI
check 135 new vote past hour submit meme get rank chatgptmemes chatgpt ai ai meme funny chatgpt,"['check', 'new', 'vote', 'past', 'hour', 'submit', 'meme', 'get', 'rank', 'chatgptmemes', 'chatgpt', 'ai', 'ai', 'meme', 'funny', 'chatgpt']",1,79.72,T1 Information Technology
1 chatgpt develop openai one popular ai chatbots know advanced language understand capability,"['chatgpt', 'develop', 'openai', 'one', 'popular', 'ai', 'chatbots', 'know', 'advanced', 'language', 'understand', 'capability']",4,88.85,T4 Random Ask and Conversations
personalize chatgpt content dont settle generic ai customize prompt match brand voice engage unique content embrace multimodal future leverage visuals audio ai via dalle demoed inside chatgpt possibility excite,"['personalize', 'chatgpt', 'content', 'dont', 'settle', 'generic', 'ai', 'customize', 'prompt', 'match', 'brand', 'voice', 'engage', 'unique', 'content', 'embrace', 'multimodal', 'future', 'leverage', 'visuals', 'audio', 'ai', 'via', 'dalle', 'demoed', 'inside', 'chatgpt', 'possibility', 'excite']",2,91.15,T2 Education and Foundations
new image generate past hour 21 vote submit chatgpt funnychatgpt ai funnyai,"['new', 'image', 'generate', 'past', 'hour', 'vote', 'submit', 'chatgpt', 'funnychatgpt', 'ai', 'funnyai']",3,80.76,T3 Experiment AI
use chatgpt get data clean garbage garbage flaw data lead poor result refine collection fix error data everything,"['use', 'chatgpt', 'get', 'data', 'clean', 'garbage', 'garbage', 'flaw', 'data', 'lead', 'poor', 'result', 'refine', 'collection', 'fix', 'error', 'data', 'everything']",3,83.13,T3 Experiment AI
noun chain chain like really long necklace except make metal really heavy cant wear around neck unless youre really strong person totally rock technology innovation chatgpt openai program,"['noun', 'chain', 'chain', 'like', 'really', 'long', 'necklace', 'except', 'make', 'metal', 'really', 'heavy', 'cant', 'wear', 'around', 'neck', 'unless', 'youre', 'really', 'strong', 'person', 'totally', 'rock', 'technology', 'innovation', 'chatgpt', 'openai', 'program']",1,93.83,T1 Information Technology
user bias significantly drive ai interaction recent study reveals generativeai program like chatgpt may respond base user assumption technology read,"['user', 'bias', 'significantly', 'drive', 'ai', 'interaction', 'recent', 'study', 'reveals', 'generativeai', 'program', 'like', 'chatgpt', 'may', 'respond', 'base', 'user', 'assumption', 'technology', 'read']",3,89.93,T3 Experiment AI
tip chatgpt customize article additional parameter write tone article topic digitalmarketingagency marketingautomation digitaltransformation seo,"['tip', 'chatgpt', 'customize', 'article', 'additional', 'parameter', 'write', 'tone', 'article', 'topic', 'seo']",3,80.26,T3 Experiment AI
8 month submit chatgpt reply,"['month', 'submit', 'chatgpt', 'reply']",1,61.4,T1 Information Technology
friend download free audio review copy amp leave review chatgpt gemini amp llama journey ai agi asi amp singularity transformative innovation book series amazon audible redeem onetime use code promo code rkl4pzrr2prbh,"['friend_download_free_audio', 'review_copy_amp_leave', 'review', 'chatgpt', 'gemini_amp_llama_journey', 'ai_agi_asi_amp', 'singularity_transformative', 'innovation_book_series_amazon', 'audible_redeem', 'onetime_use', 'code_promo_code', 'rkl', 'pzrr', 'prbh']",3,93.18,T3 Experiment AI
try chatgpt,"['try', 'chatgpt']",1,61.0,T1 Information Technology
perspective world like magnificent mosaic experience every moment add new vibrant piece masterpiece life worldview lifeisart chatgpt,"['perspective', 'world', 'like', 'magnificent', 'mosaic', 'experience', 'every', 'moment', 'add', 'new', 'vibrant', 'piece', 'masterpiece', 'life', 'worldview', 'lifeisart', 'chatgpt']",3,58.1,T3 Experiment AI
much grand proclamation bipartisanship loyalist chatgpt please define word bipartisanship perspective peak bipartisanship vote matter many time take,"['much', 'grand', 'proclamation', 'bipartisanship', 'loyalist', 'chatgpt', 'please', 'define', 'word', 'bipartisanship', 'perspective', 'peak', 'bipartisanship', 'vote', 'matter', 'many', 'time', 'take']",1,86.42,T1 Information Technology
black woman enjoy coffee solitude embrace beauty everyday moment 𝙁𝙤𝙡𝙡𝙤𝙬 𝙛𝙤𝙧 𝙈𝙤𝙧𝙚 artificialintelligence ai nft nftart machinelearning chatgpt art tech deeplearning technology digitalart,"['black', 'woman', 'enjoy', 'coffee', 'solitude', 'embrace', 'beauty', 'everyday', 'moment', '𝙁𝙤𝙡𝙡𝙤𝙬', '𝙛𝙤𝙧', '𝙈𝙤𝙧𝙚', 'ai', 'nft', 'nftart', 'machinelearning', 'chatgpt', 'art', 'tech', 'deeplearning', 'technology', 'digitalart']",3,84.61,T3 Experiment AI
im liberty share chatgpt command cbc use generate story everyone write news story testimony zexi li style hugh hefner magazine,"['im', 'liberty', 'share', 'chatgpt', 'command', 'cbc', 'use', 'generate', 'story', 'everyone', 'write', 'news', 'story', 'testimony', 'zexi', 'li', 'style', 'hugh', 'hefner', 'magazine']",3,86.89,T3 Experiment AI
déjà vu ebay launch ai description generator desktop listing flow suddenly disappear day later magical ebay tech ready primetime ebayseller ai chatgpt,"['déjà', 'vu', 'ebay', 'launch', 'ai', 'description', 'generator', 'desktop', 'listing', 'flow', 'suddenly', 'disappear', 'day', 'later', 'magical', 'ebay', 'tech', 'ready', 'primetime', 'ebayseller', 'ai', 'chatgpt']",3,80.83,T3 Experiment AI
chatgpt write something grammarly correct ai fight kukuma understand de de wait,"['chatgpt', 'write', 'something', 'grammarly', 'correct', 'ai', 'fight', 'kukuma', 'understand', 'de', 'de', 'wait']",4,80.21,T4 Random Ask and Conversations
u expand export control ai semiconductor chip china nvidia china usgovernment unitedstates chatgpt,"['expand', 'export', 'control', 'ai', 'semiconductor', 'chip', 'china', 'nvidia', 'china', 'usgovernment', 'unitedstates', 'chatgpt']",1,25.0,T1 Information Technology
78507 prevent u take chatgpt账号 飞机号 推特账号 facebook账号 日本id,"['prevent', 'take', 'chatgpt账号_飞机号_推特账号', 'facebook账号', '日本id']",1,74.17,T1 Information Technology
try get wireless tho input delay,"['try', 'get', 'wireless', 'tho', 'input', 'delay']",1,73.72,T1 Information Technology
nevermind want see one chatgpt bot,"['nevermind', 'want', 'see', 'one', 'chatgpt', 'bot']",4,84.26,T4 Random Ask and Conversations
think use chatgpt 40 voice conversation tell act pd would good way prepare interview,"['think', 'use', 'chatgpt', 'voice', 'conversation', 'tell', 'act', 'pd', 'would', 'good', 'way', 'prepare', 'interview']",1,67.13,T1 Information Technology
friend download free audio review copy amp leave review chatgpt gemini amp llama journey ai agi asi amp singularity transformative innovation book series amazon audible redeem onetime use code promo code pxflf2g446hr7,"['friend_download_free_audio', 'review_copy_amp_leave', 'review', 'chatgpt', 'gemini_amp_llama_journey', 'ai_agi_asi_amp', 'singularity_transformative', 'innovation_book_series_amazon', 'audible_redeem', 'onetime_use', 'code_promo_code', 'pxflf', 'hr']",3,93.18,T3 Experiment AI
chatgpt premium subscription future get get access month ahead,"['chatgpt', 'premium', 'subscription', 'future', 'get', 'get', 'access', 'month', 'ahead']",4,80.5,T4 Random Ask and Conversations
say chatgpt assume arent break couldnt afford premium tier,"['say', 'chatgpt', 'assume', 'arent', 'break', 'couldnt', 'afford', 'premium', 'tier']",2,61.59,T2 Education and Foundations
know feel kind bad choose chatgpt google think 1 chatgpt release ad support version 2 google bard eventually rival potentially replace chatgpt kind query 3 google may offer adfree version bard 20m,"['know', 'feel', 'kind', 'bad', 'choose', 'chatgpt', 'google', 'think', 'chatgpt', 'release', 'ad', 'support', 'version', 'google', 'bard', 'eventually', 'rival', 'potentially', 'replace', 'chatgpt', 'kind', 'query', 'google', 'may', 'offer', 'adfree', 'version', 'bard']",2,93.47,T2 Education and Foundations
google bard v chatgpt v bing chat vs claude 2 good,"['google', 'bard', 'chatgpt', 'bing', 'chat', 'vs', 'claude', 'good']",2,87.13,T2 Education and Foundations
friend download free audio review copy amp leave review chatgpt gemini amp llama journey ai agi asi amp singularity transformative innovation book series amazon audible redeem onetime use code promo code lk4rwzfx3efrd,"['friend_download_free_audio', 'review_copy_amp_leave', 'review', 'chatgpt', 'gemini_amp_llama_journey', 'ai_agi_asi_amp', 'singularity_transformative', 'innovation_book_series_amazon', 'audible_redeem', 'onetime_use', 'code_promo_code', 'lk', 'rwzfx', 'efrd']",3,93.18,T3 Experiment AI
use chatgpt interpret edgar allen poe brb,"['use', 'chatgpt', 'interpret', 'edgar', 'allen', 'poe', 'brb']",1,61.53,T1 Information Technology
chatgpt list,"['chatgpt', 'list']",1,25.0,T1 Information Technology
fvgmqkg option bowl resort individual success form tight land chatgpt账号 小火箭 推特账号 tiktok chatgpt 8108707,"['fvgmqkg', 'option', 'bowl', 'resort', 'individual', 'success', 'form', 'tight', 'land', 'chatgpt账号_小火箭_推特账号', 'tiktok', 'chatgpt']",3,61.4,T3 Experiment AI
chatgpt might tell kill civilian wrong,"['chatgpt', 'might', 'tell', 'kill', 'civilian', 'wrong']",2,72.78,T2 Education and Foundations
breathtaking blue summer sky feather hang three tier side bottom pearl gray dove grandma hand chatgpt账号 飞机号 推特账号 tiktok账号 chatgptplus 81974,"['breathtaking', 'blue', 'summer', 'sky', 'feather', 'hang', 'three', 'tier', 'side', 'bottom', 'pearl', 'gray', 'dove', 'grandma', 'hand', 'chatgpt账号_飞机号_推特账号', 'tiktok账号', 'chatgptplus']",1,62.23,T1 Information Technology
chatgpt hand would cut ball,"['chatgpt', 'hand', 'would', 'cut', 'ball']",1,62.02,T1 Information Technology
dive world iconic movie reimagined classic oil painting thanks capability chatgpts dalle weve transform beloved film like back future stun visual masterpiece swipe see magic cinema meet timeless beauty,"['dive', 'world', 'iconic', 'movie', 'reimagined', 'classic', 'oil', 'painting', 'thanks', 'capability', 'chatgpts', 'dalle', 'weve', 'transform', 'beloved', 'film', 'like', 'back', 'future', 'stun', 'visual', 'masterpiece', 'swipe', 'see', 'magic', 'cinema', 'meet', 'timeless', 'beauty']",3,58.3,T3 Experiment AI
well chatgpt say funny stuff,"['well', 'chatgpt', 'say', 'funny', 'stuff']",2,73.31,T2 Education and Foundations
among many useful question quote question ask semester student problem chatgpt solution still work answer,"['among', 'many', 'useful', 'question', 'quote', 'question', 'ask', 'semester', 'student', 'problem', 'chatgpt', 'solution', 'still', 'work', 'answer']",1,91.11,T1 Information Technology
conversation log chatgpt huggingchat,"['conversation', 'log', 'chatgpt', 'huggingchat']",3,59.66,T3 Experiment AI
although huggingchat take long sentence take sentence paper truncation header footer need chatgpt cannot answer desire succinctly tend chatty,"['although', 'huggingchat', 'take', 'long', 'sentence', 'take', 'sentence', 'paper', 'truncation', 'header', 'footer', 'need', 'chatgpt', 'cannot', 'answer', 'desire', 'succinctly', 'tend', 'chatty']",4,88.66,T4 Random Ask and Conversations
scammer need chatgpt,"['scammer', 'need', 'chatgpt']",1,61.4,T1 Information Technology
friend download free audio review copy amp leave review chatgpt gemini amp llama journey ai agi asi amp singularity transformative innovation book series amazon audible redeem onetime use code promo code g2crmrl7jnu6f,"['friend_download_free_audio', 'review_copy_amp_leave', 'review', 'chatgpt', 'gemini_amp_llama_journey', 'ai_agi_asi_amp', 'singularity_transformative', 'innovation_book_series_amazon', 'audible_redeem', 'onetime_use', 'code_promo_code', 'crmrl', 'jnu']",3,93.18,T3 Experiment AI
google translate joke even chatgpt use workaround finally get translation robot try nanny,"['google', 'translate', 'joke', 'even', 'chatgpt', 'use', 'workaround', 'finally', 'get', 'translation', 'robot', 'try', 'nanny']",1,85.96,T1 Information Technology
china baidu say upgraded ai bot rival late chatgpt newsdesk ai chatgpt,"['china', 'baidu', 'say', 'upgraded', 'ai', 'bot', 'rival', 'late', 'chatgpt', 'newsdesk', 'ai', 'chatgpt']",3,79.03,T3 Experiment AI
chatgpt midjourney chin wank tate output,"['chatgpt', 'midjourney', 'chin', 'wank', 'tate', 'output']",1,25.0,T1 Information Technology
adobe apple music bartleby brainly canva coursehero chegg chatgpt4 crunchyroll disney plus grammarly hbo go iwanttfc microsoft 365 netflix nba league pas picsart quillbot quizlet spotify scribd skill share studocu tidal viva max viu ph vpn wps youtube amp many dm u 2470,"['adobe', 'apple', 'music', 'bartleby', 'brainly', 'canva', 'coursehero', 'chegg', 'chatgpt', 'crunchyroll', 'disney', 'plus', 'grammarly', 'hbo', 'go', 'iwanttfc', 'microsoft', 'netflix', 'nba', 'league', 'pas', 'picsart', 'quillbot', 'quizlet', 'spotify', 'scribd', 'skill', 'share', 'studocu', 'tidal', 'viva', 'max', 'viu', 'ph', 'vpn', 'wps', 'youtube', 'amp', 'many', 'dm']",4,90.49,T4 Random Ask and Conversations
talk article screenshots discuss nothing kind,"['talk', 'article', 'screenshots', 'discuss', 'nothing', 'kind']",2,74.22,T2 Education and Foundations
chatgpt israel bomb hospital,"['chatgpt', 'israel', 'bomb', 'hospital']",4,60.57,T4 Random Ask and Conversations
love chatgpt create year start uni thats know god love,"['love', 'chatgpt', 'create', 'year', 'start', 'uni', 'thats', 'know', 'god', 'love']",4,54.62,T4 Random Ask and Conversations
information retrieve capability chatgpt gpt4 v huggingchat conclusion chatgpt goto llm test paper use attention need,"['information', 'retrieve', 'capability', 'chatgpt', 'gpt', 'huggingchat', 'conclusion', 'chatgpt', 'goto', 'llm', 'test', 'paper', 'use', 'attention', 'need']",1,89.98,T1 Information Technology
im pleasantly surprise chatgpt free version im use doesnt even know there war ukraine although keep tell shes update event september 2021,"['im', 'pleasantly', 'surprise', 'chatgpt', 'free', 'version', 'im', 'use', 'doesnt', 'even', 'know', 'war', 'ukraine', 'although', 'keep', 'tell', 'shes', 'update', 'event', 'september']",1,71.17,T1 Information Technology
friend download free audio review copy amp leave review chatgpt gemini amp llama journey ai agi asi amp singularity transformative innovation book series amazon audible redeem onetime use code promo code ezpk8lgkebknc,"['friend_download_free_audio', 'review_copy_amp_leave', 'review', 'chatgpt', 'gemini_amp_llama_journey', 'ai_agi_asi_amp', 'singularity_transformative', 'innovation_book_series_amazon', 'audible_redeem', 'onetime_use', 'code_promo_code', 'ezpk', 'lgkebknc']",3,93.18,T3 Experiment AI
thanks chatgpt response,"['thanks', 'chatgpt', 'response']",2,74.18,T2 Education and Foundations
adobe apple music bartleby brainly canva coursehero chegg chatgpt4 crunchyroll disney plus grammarly hbo go iwanttfc microsoft 365 netflix nba league pas picsart quillbot quizlet spotify scribd skill share studocu tidal viva max viu ph vpn wps youtube amp many dm u 2469,"['adobe', 'apple', 'music', 'bartleby', 'brainly', 'canva', 'coursehero', 'chegg', 'chatgpt', 'crunchyroll', 'disney', 'plus', 'grammarly', 'hbo', 'go', 'iwanttfc', 'microsoft', 'netflix', 'nba', 'league', 'pas', 'picsart', 'quillbot', 'quizlet', 'spotify', 'scribd', 'skill', 'share', 'studocu', 'tidal', 'viva', 'max', 'viu', 'ph', 'vpn', 'wps', 'youtube', 'amp', 'many', 'dm']",4,90.49,T4 Random Ask and Conversations
might fun youre think run mistral 7b chatgpt open source equivalent run little 8gb vram,"['might', 'fun', 'youre', 'think', 'run', 'mistral', 'chatgpt', 'open', 'source', 'equivalent', 'run', 'little', 'gb', 'vram']",1,89.97,T1 Information Technology
tc chatgpt reply bot,"['tc', 'chatgpt', 'reply', 'bot']",4,73.27,T4 Random Ask and Conversations
age ai amp chatgpt concoct evidence big deal global spy,"['age', 'ai', 'amp', 'chatgpt', 'concoct', 'evidence', 'big', 'deal', 'global', 'spy']",2,73.9,T2 Education and Foundations
friend download free audio review copy amp leave review chatgpt gemini amp llama journey ai agi asi amp singularity transformative innovation book series amazon audible redeem onetime use code promo code e35c5p9afbext,"['friend_download_free_audio', 'review_copy_amp_leave', 'review', 'chatgpt', 'gemini_amp_llama_journey', 'ai_agi_asi_amp', 'singularity_transformative', 'innovation_book_series_amazon', 'audible_redeem', 'onetime_use', 'code_promo_code', 'afbext']",3,93.18,T3 Experiment AI
happen asap ft ceo talk marketing engine feature question directly chatgpt towards end look emoji brian,"['happen', 'asap', 'ft', 'ceo', 'talk', 'marketing', 'engine', 'feature', 'question', 'directly', 'chatgpt', 'towards', 'end', 'look', 'emoji', 'brian']",2,86.93,T2 Education and Foundations
llm become embodied chatgpt go make eye contact know feel facial expression,"['llm', 'become', 'embodied', 'chatgpt', 'go', 'make', 'eye', 'contact', 'know', 'feel', 'facial', 'expression']",1,84.27,T1 Information Technology
put essay write ai scanner tell 50 sentence likely aigenerated guess write like robot let pray teacher doesnt think use chatgpt,"['put', 'essay', 'write', 'ai', 'scanner', 'tell', 'sentence', 'likely', 'aigenerated', 'guess', 'write', 'like', 'robot', 'let', 'pray', 'teacher', 'doesnt', 'think', 'use', 'chatgpt']",4,91.1,T4 Random Ask and Conversations
use ai chatgpt create evidence,"['use', 'ai', 'chatgpt', 'create', 'evidence']",1,73.1,T1 Information Technology
chatgpt ante chatgpt,"['chatgpt', 'ante', 'chatgpt']",1,25.0,T1 Information Technology
really blow away sometimes way come idea probably unique come lot creative many probably think chatgpt,"['really', 'blow', 'away', 'sometimes', 'way', 'come', 'idea', 'probably', 'unique', 'come', 'lot', 'creative', 'many', 'probably', 'think', 'chatgpt']",4,90.25,T4 Random Ask and Conversations
could probably chatgpt good job,"['could', 'probably', 'chatgpt', 'good', 'job']",4,80.34,T4 Random Ask and Conversations
chatgpt transform postdoc experience,"['chatgpt', 'transform', 'postdoc', 'experience']",4,61.8,T4 Random Ask and Conversations
chatgpt give insane idea create generative ai art never think ask idea wow go try see come,"['chatgpt', 'give', 'insane', 'idea', 'create', 'generative', 'ai', 'art', 'never', 'think', 'ask', 'idea', 'wow', 'go', 'try', 'see', 'come']",1,71.78,T1 Information Technology
explore vast world yield farm stake liquidity pool earn passive income participate defi protocol discover power compound watch investment grow start journey financial freedom today,"['explore', 'vast', 'world', 'yield', 'farm', 'stake', 'liquidity', 'pool', 'earn', 'passive', 'income', 'participate', 'defi', 'protocol', 'discover', 'power', 'compound', 'watch', 'investment', 'grow', 'start', 'journey', 'financial', 'freedom', 'today']",3,84.3,T3 Experiment AI
